54	1047	0.001	0.016	0.000	0.447	0.154	0.005	0.096	0.061	0.136	0.084	0.001
55	1048	0.239	0.000	0.056	0.160	0.005	0.048	0.153	0.029	0.051	0.093	0.167
56	1049	0.160	0.000	0.039	0.171	0.025	0.173	0.199	0.008	0.084	0.141	0.000
57	105	0.065	0.005	0.078	0.073	0.064	0.109	0.131	0.116	0.003	0.345	0.011
58	1050	0.071	0.024	0.036	0.040	0.346	0.308	0.002	0.050	0.003	0.118	0.000
59	1051	0.158	0.000	0.102	0.223	0.008	0.106	0.123	0.005	0.019	0.156	0.100
60	1052	0.000	0.046	0.000	0.925	0.000	0.002	0.005	0.020	0.000	0.000	0.000
61	1053	0.100	0.000	0.073	0.249	0.005	0.099	0.139	0.012	0.084	0.088	0.150
62	1054	0.047	0.004	0.002	0.180	0.000	0.376	0.025	0.016	0.117	0.234	0.000
63	1055	0.014	0.009	0.280	0.007	0.073	0.136	0.053	0.097	0.201	0.129	0.001
64	1056	0.235	0.003	0.016	0.131	0.051	0.031	0.306	0.028	0.118	0.048	0.032
65	1057	0.007	0.026	0.008	0.604	0.071	0.050	0.076	0.006	0.130	0.017	0.004
66	1058	0.247	0.000	0.024	0.001	0.001	0.000	0.003	0.090	0.446	0.001	0.186
67	1059	0.095	0.028	0.076	0.274	0.042	0.008	0.000	0.343	0.001	0.133	0.001
68	106	0.113	0.005	0.148	0.008	0.095	0.494	0.007	0.026	0.035	0.061	0.009
69	1060	0.017	0.006	0.001	0.011	0.029	0.376	0.318	0.081	0.094	0.062	0.006
70	1061	0.228	0.000	0.043	0.079	0.035	0.188	0.201	0.020	0.140	0.021	0.044
71	1062	0.308	0.007	0.141	0.021	0.073	0.000	0.016	0.096	0.029	0.164	0.144
72	1063	0.235	0.000	0.051	0.034	0.002	0.086	0.254	0.004	0.152	0.073	0.107
73	1064	0.003	0.002	0.024	0.296	0.158	0.211	0.099	0.043	0.003	0.160	0.000
74	1065	0.126	0.002	0.144	0.159	0.025	0.088	0.169	0.055	0.167	0.060	0.005
75	1066	0.014	0.002	0.078	0.150	0.084	0.003	0.189	0.056	0.101	0.119	0.204
76	1067	0.219	0.026	0.000	0.157	0.040	0.095	0.061	0.176	0.000	0.011	0.215
77	1068	0.190	0.001	0.066	0.216	0.036	0.057	0.000	0.086	0.024	0.158	0.167
78	1069	0.060	0.002	0.086	0.058	0.027	0.065	0.271	0.011	0.039	0.273	0.109
79	107	0.217	0.001	0.130	0.045	0.046	0.001	0.093	0.004	0.074	0.277	0.112
80	1070	0.242	0.000	0.082	0.032	0.004	0.126	0.169	0.011	0.202	0.058	0.075
81	1071	0.000	0.036	0.003	0.359	0.104	0.196	0.269	0.026	0.001	0.006	0.000
82	1072	0.278	0.003	0.014	0.004	0.006	0.049	0.437	0.086	0.092	0.021	0.010
83	1073	0.048	0.003	0.323	0.100	0.002	0.122	0.000	0.053	0.025	0.047	0.276
84	1074	0.213	0.001	0.027	0.003	0.089	0.218	0.000	0.003	0.000	0.168	0.277
85	1075	0.088	0.007	0.013	0.096	0.081	0.001	0.069	0.091	0.138	0.151	0.265
86	1076	0.035	0.060	0.000	0.851	0.001	0.003	0.015	0.025	0.000	0.005	0.004
87	1077	0.341	0.019	0.005	0.371	0.008	0.027	0.134	0.046	0.000	0.000	0.050
88	1078	0.126	0.005	0.103	0.012	0.000	0.010	0.413	0.312	0.004	0.015	0.000
89	1079	0.283	0.002	0.052	0.202	0.001	0.011	0.023	0.048	0.162	0.039	0.177
90	108	0.055	0.035	0.109	0.004	0.012	0.224	0.076	0.058	0.237	0.020	0.170
91	1080	0.106	0.004	0.085	0.257	0.160	0.009	0.087	0.003	0.010	0.278	0.002
92	1081	0.208	0.017	0.546	0.003	0.004	0.002	0.002	0.003	0.003	0.209	0.002
93	1082	0.142	0.000	0.042	0.188	0.004	0.172	0.134	0.004	0.078	0.160	0.075
94	1083	0.342	0.007	0.059	0.010	0.050	0.231	0.104	0.031	0.157	0.005	0.002
95	1084	0.000	0.002	0.000	0.258	0.000	0.115	0.000	0.269	0.000	0.142	0.213
96	1085	0.003	0.039	0.007	0.002	0.051	0.054	0.000	0.622	0.000	0.000	0.222
97	1086	0.226	0.001	0.112	0.177	0.023	0.208	0.075	0.037	0.056	0.041	0.044
98	1087	0.026	0.021	0.000	0.022	0.148	0.406	0.000	0.248	0.000	0.006	0.123
99	1088	0.447	0.014	0.081	0.089	0.084	0.001	0.073	0.173	0.004	0.032	0.002
100	1089	0.171	0.007	0.046	0.245	0.041	0.242	0.001	0.001	0.047	0.039	0.160
101	109	0.141	0.005	0.053	0.059	0.028	0.036	0.138	0.033	0.167	0.313	0.027
102	1090	0.130	0.016	0.111	0.047	0.025	0.021	0.075	0.170	0.272	0.129	0.005
103	1091	0.205	0.001	0.208	0.003	0.001	0.000	0.003	0.090	0.218	0.038	0.233
104	1092	0.288	0.000	0.034	0.119	0.006	0.050	0.224	0.006	0.099	0.064	0.111
105	1093	0.103	0.029	0.001	0.002	0.009	0.018	0.291	0.544	0.000	0.002	0.003
106	1094	0.060	0.003	0.047	0.055	0.133	0.026	0.013	0.075	0.044	0.242	0.300
107	1095	0.218	0.002	0.119	0.157	0.014	0.145	0.070	0.038	0.093	0.095	0.049
108	1096	0.144	0.000	0.102	0.037	0.002	0.093	0.217	0.014	0.047	0.231	0.112
109	1097	0.157	0.000	0.085	0.095	0.021	0.059	0.263	0.009	0.117	0.113	0.080
110	1098	0.106	0.001	0.015	0.000	0.000	0.010	0.151	0.117	0.319	0.006	0.275
111	1099	0.224	0.000	0.245	0.197	0.194	0.110	0.004	0.001	0.000	0.025	0.000
112	11	0.006	0.027	0.006	0.043	0.073	0.000	0.035	0.094	0.000	0.000	0.715
113	110	0.142	0.001	0.088	0.113	0.004	0.008	0.153	0.035	0.078	0.193	0.186
114	1100	0.294	0.011	0.021	0.079	0.057	0.021	0.168	0.062	0.125	0.056	0.106
115	1101	0.213	0.001	0.115	0.106	0.001	0.002	0.086	0.043	0.200	0.129	0.104
116	1102	0.112	0.000	0.035	0.213	0.003	0.153	0.191	0.001	0.108	0.111	0.072
117	1103	0.226	0.000	0.044	0.298	0.096	0.003	0.127	0.001	0.069	0.132	0.004
118	1104	0.474	0.307	0.002	0.043	0.001	0.000	0.000	0.041	0.000	0.004	0.128
119	1105	0.220	0.000	0.048	0.114	0.017	0.209	0.169	0.022	0.029	0.079	0.092
